Model,Accuracy,Precision,Recall,Sensitivity,Specificity,F1-score,ROC-AUC
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9285714285714286,1.0,0.9629629629629629,0.9980158730158729
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9285714285714286,0.9861111111111112,0.9512195121951219,0.996031746031746
SVM,0.9736842105263158,1.0,0.9285714285714286,0.9285714285714286,1.0,0.9629629629629629,0.9947089947089947
KNN,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9047619047619048,0.9861111111111112,0.9382716049382716,0.982308201058201
Decision Tree,0.9035087719298246,0.8974358974358975,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.8641975308641975,0.888888888888889
